TimestampUtc,Service,PreviousState,CurrentState,HttpStatus,ResponseTimeMs,Reason,AlertSent,TransitionAction,RunId
2026-08-21T15:53:56.0831062Z,demo-alpha,Unknown,Healthy,200,222,All checks passed,False,Initialization,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:53:58.4050711Z,demo-beta,Unknown,Degraded,503,2182,Simulated dependency failure,False,Initialization,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:53:58.6342500Z,demo-gamma,Unknown,Healthy,200,106,All checks passed,False,Initialization,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:54:08.8741505Z,demo-alpha,Healthy,Healthy,200,55,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:54:10.7543032Z,demo-beta,Degraded,Degraded,503,1790,Simulated dependency failure,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:54:10.9463640Z,demo-gamma,Healthy,Healthy,200,97,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:54:21.1790540Z,demo-alpha,Healthy,Healthy,200,94,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:54:21.3512408Z,demo-beta,Degraded,Healthy,200,101,All checks passed,False,RecoveryPending,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:54:21.4433977Z,demo-gamma,Healthy,Healthy,200,26,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:54:31.5754610Z,demo-alpha,Healthy,Healthy,200,40,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:54:33.2686624Z,demo-beta,Healthy,Degraded,503,1630,Simulated dependency failure,False,WarningPending,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:54:33.4319870Z,demo-gamma,Healthy,Healthy,200,41,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:54:43.6298089Z,demo-alpha,Healthy,Healthy,200,90,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:54:45.5349785Z,demo-beta,Degraded,Degraded,503,1835,Simulated dependency failure,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:54:45.6178771Z,demo-gamma,Healthy,Healthy,200,26,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:54:55.7359542Z,demo-alpha,Healthy,Healthy,200,33,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:54:57.4888150Z,demo-beta,Degraded,Degraded,503,1673,Simulated dependency failure,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:54:57.5832272Z,demo-gamma,Healthy,Healthy,200,24,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:55:07.7366772Z,demo-alpha,Healthy,Healthy,200,40,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:55:09.5132738Z,demo-beta,Degraded,Degraded,503,1688,Simulated dependency failure,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:55:10.1990713Z,demo-gamma,Healthy,Healthy,200,594,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:55:20.3238678Z,demo-alpha,Healthy,Healthy,200,33,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:55:22.2469090Z,demo-beta,Degraded,Degraded,503,1841,Simulated dependency failure,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:55:22.3696368Z,demo-gamma,Healthy,Healthy,200,43,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:55:32.5416905Z,demo-alpha,Healthy,Healthy,200,51,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:55:32.6300845Z,demo-beta,Degraded,Healthy,200,24,All checks passed,False,RecoveryPending,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:55:32.7289167Z,demo-gamma,Healthy,Healthy,200,33,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:55:42.9277698Z,demo-alpha,Healthy,Healthy,200,67,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:55:43.1654978Z,demo-beta,Healthy,Healthy,200,148,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
2026-08-21T15:55:43.3619065Z,demo-gamma,Healthy,Healthy,200,119,All checks passed,False,None,a25c87e73dcd4e77bdf766374ae78cb7
