TimestampUtc,Service,PreviousState,CurrentState,HttpStatus,ResponseTimeMs,Reason,AlertSent,TransitionAction,RunId
2026-08-21T17:13:23.0846133Z,demo-alpha,Unknown,Healthy,200,424,All checks passed,False,Initialization,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:13:26.0634982Z,demo-beta,Unknown,Degraded,503,2814,Simulated dependency failure,False,Initialization,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:13:26.3736536Z,demo-gamma,Unknown,Healthy,200,116,All checks passed,False,Initialization,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:13:36.6941798Z,demo-alpha,Healthy,Healthy,200,111,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:13:38.6072846Z,demo-beta,Degraded,Degraded,503,1833,Simulated dependency failure,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:13:38.7039857Z,demo-gamma,Healthy,Healthy,200,26,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:13:48.9595271Z,demo-alpha,Healthy,Healthy,200,143,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:13:50.6693516Z,demo-beta,Degraded,Degraded,503,1630,Simulated dependency failure,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:13:50.8650577Z,demo-gamma,Healthy,Healthy,200,97,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:14:01.0890167Z,demo-alpha,Healthy,Healthy,200,81,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:14:02.9942876Z,demo-beta,Degraded,Degraded,503,1825,Simulated dependency failure,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:14:03.1881130Z,demo-gamma,Healthy,Healthy,200,88,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:14:13.3943165Z,demo-alpha,Healthy,Healthy,200,77,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:14:15.2076123Z,demo-beta,Degraded,Degraded,503,1713,Simulated dependency failure,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:14:15.3725098Z,demo-gamma,Healthy,Healthy,200,77,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:14:25.5980347Z,demo-alpha,Healthy,Healthy,200,65,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:14:27.5158686Z,demo-beta,Degraded,Degraded,503,1817,Simulated dependency failure,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:14:27.6441403Z,demo-gamma,Healthy,Healthy,200,31,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:14:37.8014542Z,demo-alpha,Healthy,Healthy,200,34,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:14:39.5029455Z,demo-beta,Degraded,Degraded,503,1607,Simulated dependency failure,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:14:39.6611383Z,demo-gamma,Healthy,Healthy,200,64,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:14:49.8855100Z,demo-alpha,Healthy,Healthy,200,86,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:14:50.0898220Z,demo-beta,Degraded,Healthy,200,107,All checks passed,False,RecoveryPending,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:14:50.2977791Z,demo-gamma,Healthy,Healthy,200,144,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:15:00.4650492Z,demo-alpha,Healthy,Healthy,200,28,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:15:02.3422063Z,demo-beta,Healthy,Degraded,503,1790,Simulated dependency failure,False,WarningPending,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:15:02.4636796Z,demo-gamma,Healthy,Healthy,200,34,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:15:12.6158802Z,demo-alpha,Healthy,Healthy,200,28,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:15:12.7000002Z,demo-beta,Degraded,Healthy,200,26,All checks passed,False,RecoveryPending,cc3d50e0d1d14249978e559a71a806db
2026-08-21T17:15:12.7817688Z,demo-gamma,Healthy,Healthy,200,26,All checks passed,False,None,cc3d50e0d1d14249978e559a71a806db
